Acc_X: 504, Acc_Y: 4736, Acc_Z: 696
Acc_X: 496, Acc_Y: 4756, Acc_Z: 680
Acc_X: 504, Acc_Y: 4732, Acc_Z: 692
Acc_X: 496, Acc_Y: 4726, Acc_Z: 736
Acc_X: 492, Acc_Y: 4714, Acc_Z: 724
Acc_X: 484, Acc_Y: 4668, Acc_Z: 740
Acc_X: 466, Acc_Y: 4658, Acc_Z: 736
Acc_X: 484, Acc_Y: 4620, Acc_Z: 764
Acc_X: 482, Acc_Y: 4596, Acc_Z: 712
Acc_X: 474, Acc_Y: 4544, Acc_Z: 716
Acc_X: 460, Acc_Y: 4510, Acc_Z: 716
Acc_X: 484, Acc_Y: 4480, Acc_Z: 700
Acc_X: 456, Acc_Y: 4420, Acc_Z: 744
Acc_X: 452, Acc_Y: 4388, Acc_Z: 776
Acc_X: 452, Acc_Y: 4342, Acc_Z: 748
Acc_X: 448, Acc_Y: 4324, Acc_Z: 732
Acc_X: 444, Acc_Y: 4240, Acc_Z: 720
Acc_X: 462, Acc_Y: 4186, Acc_Z: 748
Acc_X: 436, Acc_Y: 4132, Acc_Z: 744
Acc_X: 454, Acc_Y: 4066, Acc_Z: 740
Acc_X: 426, Acc_Y: 4030, Acc_Z: 732
Acc_X: 426, Acc_Y: 3952, Acc_Z: 740
Acc_X: 428, Acc_Y: 3958, Acc_Z: 732
Acc_X: 424, Acc_Y: 3888, Acc_Z: 744
Acc_X: 426, Acc_Y: 3870, Acc_Z: 708
Acc_X: 412, Acc_Y: 3800, Acc_Z: 720
Acc_X: 388, Acc_Y: 3804, Acc_Z: 704
Acc_X: 414, Acc_Y: 3744, Acc_Z: 700
Acc_X: 408, Acc_Y: 3720, Acc_Z: 740
Acc_X: 416, Acc_Y: 3720, Acc_Z: 704
Acc_X: 422, Acc_Y: 3710, Acc_Z: 700
Acc_X: 378, Acc_Y: 3700, Acc_Z: 712
Acc_X: 408, Acc_Y: 3704, Acc_Z: 680
Acc_X: 378, Acc_Y: 3716, Acc_Z: 664
Acc_X: 400, Acc_Y: 3714, Acc_Z: 652
Acc_X: 392, Acc_Y: 3732, Acc_Z: 628
Acc_X: 384, Acc_Y: 3784, Acc_Z: 648
Acc_X: 382, Acc_Y: 3762, Acc_Z: 596
Acc_X: 380, Acc_Y: 3796, Acc_Z: 556
Acc_X: 404, Acc_Y: 3824, Acc_Z: 556
Acc_X: 378, Acc_Y: 3820, Acc_Z: 514
Acc_X: 396, Acc_Y: 3868, Acc_Z: 484
Acc_X: 410, Acc_Y: 3908, Acc_Z: 432
Acc_X: 384, Acc_Y: 3946, Acc_Z: 452
Acc_X: 404, Acc_Y: 4014, Acc_Z: 424
Acc_X: 422, Acc_Y: 4032, Acc_Z: 360
Acc_X: 418, Acc_Y: 4082, Acc_Z: 344
Acc_X: 428, Acc_Y: 4114, Acc_Z: 340
Acc_X: 414, Acc_Y: 4156, Acc_Z: 324
Acc_X: 426, Acc_Y: 4218, Acc_Z: 308
Acc_X: 422, Acc_Y: 4260, Acc_Z: 324
Acc_X: 418, Acc_Y: 4270, Acc_Z: 300
Acc_X: 420, Acc_Y: 4304, Acc_Z: 336
Acc_X: 436, Acc_Y: 4350, Acc_Z: 292
Acc_X: 424, Acc_Y: 4376, Acc_Z: 284
Acc_X: 418, Acc_Y: 4392, Acc_Z: 272
Acc_X: 416, Acc_Y: 4420, Acc_Z: 296
Acc_X: 432, Acc_Y: 4402, Acc_Z: 268
Acc_X: 420, Acc_Y: 4434, Acc_Z: 268
Acc_X: 418, Acc_Y: 4448, Acc_Z: 268
Acc_X: 408, Acc_Y: 4468, Acc_Z: 240
Acc_X: 412, Acc_Y: 4444, Acc_Z: 248
Acc_X: 400, Acc_Y: 4468, Acc_Z: 252
Acc_X: 430, Acc_Y: 4452, Acc_Z: 216
Acc_X: 412, Acc_Y: 4456, Acc_Z: 236
Acc_X: 396, Acc_Y: 4456, Acc_Z: 208
Acc_X: 392, Acc_Y: 4424, Acc_Z: 236
Acc_X: 422, Acc_Y: 4408, Acc_Z: 176
Acc_X: 392, Acc_Y: 4390, Acc_Z: 180
Acc_X: 420, Acc_Y: 4380, Acc_Z: 196
Acc_X: 408, Acc_Y: 4356, Acc_Z: 196
Acc_X: 400, Acc_Y: 4338, Acc_Z: 156
Acc_X: 396, Acc_Y: 4286, Acc_Z: 164
Acc_X: 392, Acc_Y: 4264, Acc_Z: 164
Acc_X: 400, Acc_Y: 4256, Acc_Z: 156
Acc_X: 388, Acc_Y: 4196, Acc_Z: 132
Acc_X: 396, Acc_Y: 4136, Acc_Z: 180
Acc_X: 372, Acc_Y: 4104, Acc_Z: 140
Acc_X: 390, Acc_Y: 4056, Acc_Z: 176
Acc_X: 376, Acc_Y: 4016, Acc_Z: 172
Acc_X: 378, Acc_Y: 3984, Acc_Z: 160
Acc_X: 384, Acc_Y: 3936, Acc_Z: 172
Acc_X: 382, Acc_Y: 3896, Acc_Z: 148
Acc_X: 372, Acc_Y: 3868, Acc_Z: 152
Acc_X: 374, Acc_Y: 3848, Acc_Z: 160
Acc_X: 386, Acc_Y: 3800, Acc_Z: 168
Acc_X: 386, Acc_Y: 3784, Acc_Z: 156
Acc_X: 376, Acc_Y: 3740, Acc_Z: 128
Acc_X: 368, Acc_Y: 3720, Acc_Z: 136
Acc_X: 376, Acc_Y: 3684, Acc_Z: 128
Acc_X: 380, Acc_Y: 3650, Acc_Z: 160
Acc_X: 364, Acc_Y: 3640, Acc_Z: 168
Acc_X: 386, Acc_Y: 3628, Acc_Z: 156
Acc_X: 382, Acc_Y: 3642, Acc_Z: 152
Acc_X: 378, Acc_Y: 3602, Acc_Z: 148
Acc_X: 378, Acc_Y: 3606, Acc_Z: 172
Acc_X: 372, Acc_Y: 3600, Acc_Z: 172
Acc_X: 378, Acc_Y: 3616, Acc_Z: 184
Acc_X: 386, Acc_Y: 3612, Acc_Z: 184
Acc_X: 400, Acc_Y: 3620, Acc_Z: 208
Acc_X: 406, Acc_Y: 3644, Acc_Z: 224
Acc_X: 418, Acc_Y: 3628, Acc_Z: 232
Acc_X: 420, Acc_Y: 3672, Acc_Z: 236
Acc_X: 418, Acc_Y: 3680, Acc_Z: 240
Acc_X: 422, Acc_Y: 3712, Acc_Z: 296
Acc_X: 436, Acc_Y: 3728, Acc_Z: 284
Acc_X: 440, Acc_Y: 3742, Acc_Z: 308
Acc_X: 432, Acc_Y: 3776, Acc_Z: 332
Acc_X: 428, Acc_Y: 3792, Acc_Z: 360
Acc_X: 432, Acc_Y: 3814, Acc_Z: 348
Acc_X: 448, Acc_Y: 3856, Acc_Z: 364
Acc_X: 448, Acc_Y: 3876, Acc_Z: 416
Acc_X: 466, Acc_Y: 3888, Acc_Z: 400
Acc_X: 440, Acc_Y: 3918, Acc_Z: 440
Acc_X: 482, Acc_Y: 3928, Acc_Z: 448
Acc_X: 470, Acc_Y: 3988, Acc_Z: 476
Acc_X: 464, Acc_Y: 4022, Acc_Z: 464
Acc_X: 478, Acc_Y: 4044, Acc_Z: 488
Acc_X: 480, Acc_Y: 4080, Acc_Z: 464
Acc_X: 488, Acc_Y: 4104, Acc_Z: 522
Acc_X: 488, Acc_Y: 4128, Acc_Z: 528
Acc_X: 488, Acc_Y: 4152, Acc_Z: 496
Acc_X: 480, Acc_Y: 4164, Acc_Z: 488
Acc_X: 484, Acc_Y: 4186, Acc_Z: 496
Acc_X: 458, Acc_Y: 4194, Acc_Z: 536
Acc_X: 486, Acc_Y: 4230, Acc_Z: 510
Acc_X: 460, Acc_Y: 4248, Acc_Z: 536
Acc_X: 480, Acc_Y: 4230, Acc_Z: 572
Acc_X: 496, Acc_Y: 4256, Acc_Z: 560
Acc_X: 478, Acc_Y: 4276, Acc_Z: 564
Acc_X: 508, Acc_Y: 4252, Acc_Z: 576
Acc_X: 488, Acc_Y: 4276, Acc_Z: 564
Acc_X: 480, Acc_Y: 4282, Acc_Z: 600
Acc_X: 474, Acc_Y: 4260, Acc_Z: 576
Acc_X: 464, Acc_Y: 4248, Acc_Z: 600
Acc_X: 452, Acc_Y: 4244, Acc_Z: 596
Acc_X: 476, Acc_Y: 4240, Acc_Z: 608
Acc_X: 452, Acc_Y: 4204, Acc_Z: 624
Acc_X: 478, Acc_Y: 4164, Acc_Z: 648
Acc_X: 468, Acc_Y: 4164, Acc_Z: 632
Acc_X: 440, Acc_Y: 4126, Acc_Z: 656
Acc_X: 436, Acc_Y: 4126, Acc_Z: 624
Acc_X: 440, Acc_Y: 4076, Acc_Z: 612
Acc_X: 452, Acc_Y: 4070, Acc_Z: 616
Acc_X: 444, Acc_Y: 4052, Acc_Z: 612
Acc_X: 460, Acc_Y: 4026, Acc_Z: 652
Acc_X: 444, Acc_Y: 4014, Acc_Z: 624
Acc_X: 434, Acc_Y: 3992, Acc_Z: 644
Acc_X: 422, Acc_Y: 3956, Acc_Z: 640
Acc_X: 422, Acc_Y: 3962, Acc_Z: 644
Acc_X: 432, Acc_Y: 3932, Acc_Z: 620
Acc_X: 440, Acc_Y: 3904, Acc_Z: 600
Acc_X: 426, Acc_Y: 3888, Acc_Z: 596
Acc_X: 422, Acc_Y: 3876, Acc_Z: 612
Acc_X: 428, Acc_Y: 3872, Acc_Z: 596
Acc_X: 438, Acc_Y: 3836, Acc_Z: 600
Acc_X: 414, Acc_Y: 3840, Acc_Z: 588
Acc_X: 414, Acc_Y: 3828, Acc_Z: 636
Acc_X: 422, Acc_Y: 3816, Acc_Z: 612
Acc_X: 428, Acc_Y: 3826, Acc_Z: 600
